Country,Homicide Rate
Afghanistan,7.4
Albania,4.2
Algeria,4.2
Angola,9.8
Antigua and Barbuda,1.8
Argentina,6.2
Armenia,2.4
Australia,1.1
Austria,0.5
Azerbaijan,2.4
Bahamas,29.7
Bahrain,0.8
Bangladesh,2.9
Barbados,10.0
Belarus,5.2
Belgium,1.0
Belize,29.4
Benin,6.4
Bhutan,1.7
Bolivia (Plurinational State of),14.1
Bosnia and Herzegovina,3.3
Botswana,11.4
Brazil,31.3
Brunei Darussalam,2.0
Bulgaria,1.7
Burkina Faso,9.8
Burundi,6.6
Cabo Verde,8.2
Cambodia,2.2
Cameroon,11.6
Canada,1.5
Central African Republic,13.8
Chad,9.6
Chile,4.4
China,0.9
Colombia,43.1
Comoros,7.9
Congo,10.2
Costa Rica,10.2
C̫te d'Ivoire,12.1
Croatia,1.0
Cuba,5.5
Cyprus,1.4
Czechia,0.8
Democratic People's Republic of Korea,4.4
Democratic Republic of the Congo,13.3
Denmark,0.8
Djibouti,6.8
Dominican Republic,16.8
Ecuador,9.3
Egypt,4.8
El Salvador,46.0
Equatorial Guinea,3.4
Eritrea,7.8
Estonia,3.7
Eswatini,20.0
Ethiopia,7.8
Fiji,2.5
Finland,1.3
France,0.9
Gabon,8.8
Gambia,9.3
Georgia,4.6
Germany,0.7
Ghana,9.7
Greece,1.1
Grenada,6.3
Guatemala,25.8
Guinea,8.9
Guinea-Bissau,9.2
Guyana,18.8
Haiti,28.0
Honduras,55.5
Hungary,1.3
Iceland,1.2
India,4.1
Indonesia,4.5
Iran (Islamic Republic of),4.5
Iraq,15.5
Ireland,0.8
Israel,1.8
Italy,0.8
Jamaica,39.1
Japan,0.3
Jordan,2.9
Kazakhstan,8.1
Kenya,5.3
Kiribati,9.1
Kuwait,2.7
Kyrgyzstan,5.8
Lao People's Democratic Republic,7.0
Latvia,6.0
Lebanon,4.5
Lesotho,35.0
Liberia,10.0
Libya,2.5
Lithuania,5.9
Luxembourg,0.2
Madagascar,6.9
Malawi,1.5
Malaysia,4.1
Maldives,3.4
Mali,11.3
Malta,0.9
Mauritania,11.0
Mauritius,1.6
Mexico,16.9
Micronesia (Federated States of),4.8
Mongolia,8.9
Montenegro,2.6
Morocco,1.4
Mozambique,2.5
Myanmar,4.1
Namibia,18.3
Nepal,3.3
Netherlands,0.7
New Zealand,1.1
Nicaragua,13.9
Niger,10.4
Nigeria,9.8
Norway,0.6
Oman,5.2
Pakistan,9.6
Panama,20.5
Papua New Guinea,10.2
Paraguay,8.6
Peru,11.6
Philippines,14.8
Poland,0.9
Portugal,1.2
Qatar,7.4
Republic of Korea,1.3
Republic of Moldova,5.3
Romania,1.6
Russian Federation,11.3
Rwanda,5.5
Saint Lucia,15.6
Saint Vincent and the Grenadines,13.8
Samoa,3.2
Sao Tome and Principe,7.0
Saudi Arabia,6.2
Senegal,7.8
Serbia,1.6
Seychelles,9.9
Sierra Leone,13.1
Singapore,0.2
Slovakia,1.3
Slovenia,0.7
Solomon Islands,4.3
Somalia,5.6
South Africa,33.1
South Sudan,5.1
Spain,0.7
Sri Lanka,3.0
Sudan,6.2
Suriname,10.0
Sweden,1.0
Switzerland,0.5
Syrian Arab Republic,2.5
Tajikistan,1.3
Thailand,5.0
Republic of North Macedonia,1.5
Timor-Leste,5.1
Togo,9.3
Tonga,4.6
Trinidad and Tobago,42.2
Tunisia,1.7
Turkey,2.7
Turkmenistan,4.2
Uganda,12.6
Ukraine,4.6
United Arab Emirates,3.8
United Kingdom of Great Britain and Northern Ireland,1.3
United Republic of Tanzania,7.7
United States of America,6.5
Uruguay,7.4
Uzbekistan,1.9
Vanuatu,2.5
Venezuela (Bolivarian Republic of),49.2
Viet Nam,3.8
Yemen,6.1
Zambia,10.1
Zimbabwe,15.1
